,Lactate,Malate,Fumarate,Biomass,CO2,R00268,R00405,R02740,R00351
2.4390243902439024,0.0,59.508508,100.0,129.54479,851.50584,170.33812,-170.33812,205.0,-170.33812
2.4271844660194173,0.0,61.654847,100.0,129.62077,848.77945,170.14477,-170.14477,206.0,-170.14477
2.4154589371980677,0.0,63.801186,100.0,129.69675,846.05306,169.95142,-169.95142,207.0,-169.95142
2.4038461538461537,0.0,65.947526,100.0,129.77273,843.32667,169.75807,-169.75807,208.0,-169.75807
2.3923444976076556,0.0,68.093865,100.0,129.84871,840.60028,169.56472,-169.56472,209.0,-169.56472
2.380952380952381,0.0,70.240204,100.0,129.92468,837.87389,169.37137,-169.37137,210.0,-169.37137
2.3696682464454977,0.0,72.386544,100.0,130.00066,835.1475,169.17802,-169.17802,211.0,-169.17802
2.358490566037736,0.0,74.532883,100.0,130.07664,832.42111,168.98467,-168.98467,212.0,-168.98467
2.347417840375587,0.0,76.679222,100.0,130.15262,829.69472,168.79132,-168.79132,213.0,-168.79132
2.336448598130841,0.0,78.825562,100.0,130.2286,826.96833,168.59797,-168.59797,214.0,-168.59797
2.3255813953488373,0.0,80.971901,100.0,130.30458,824.24195,168.40462,-168.40462,215.0,-168.40462
2.314814814814815,0.0,83.11824,100.0,130.38056,821.51556,168.21127,-168.21127,216.0,-168.21127
2.304147465437788,0.0,85.264579,100.0,130.45654,818.78917,168.01792,-168.01792,217.0,-168.01792
2.293577981651376,0.0,87.410919,100.0,130.53252,816.06278,167.82457,-167.82457,218.0,-167.82457
2.2831050228310503,0.0,89.557258,100.0,130.6085,813.33639,167.63121,-167.63121,219.0,-167.63121
2.272727272727273,0.0,91.703597,100.0,130.68448,810.61,167.43786,-167.43786,220.0,-167.43786
2.262443438914027,0.0,93.849937,100.0,130.76046,807.88361,167.24451,-167.24451,221.0,-167.24451
2.2522522522522523,0.0,95.996276,100.0,130.83644,805.15722,167.05116,-167.05116,222.0,-167.05116
2.242152466367713,0.0,98.142615,100.0,130.91242,802.43083,166.85781,-166.85781,223.0,-166.85781
2.232142857142857,0.0,100.28895,100.0,130.9884,799.70444,166.66446,-166.66446,224.0,-166.66446
2.2222222222222223,0.0,102.43529,100.0,131.06437,796.97805,166.47111,-166.47111,225.0,-166.47111
2.2123893805309733,0.0,104.58163,100.0,131.14035,794.25166,166.27776,-166.27776,226.0,-166.27776
2.202643171806167,0.0,106.72797,100.0,131.21633,791.52527,166.08441,-166.08441,227.0,-166.08441
2.192982456140351,0.0,108.87431,100.0,131.29231,788.79888,165.89106,-165.89106,228.0,-165.89106
2.183406113537118,0.0,111.02065,100.0,131.36829,786.07249,165.69771,-165.69771,229.0,-165.69771
2.1739130434782608,0.0,113.16699,100.0,131.44427,783.3461,165.50436,-165.50436,230.0,-165.50436
2.1645021645021645,0.0,115.31333,100.0,131.52025,780.61971,165.31101,-165.31101,231.0,-165.31101
2.1551724137931036,0.0,117.45967,100.0,131.59623,777.89332,165.11766,-165.11766,232.0,-165.11766
2.1459227467811157,0.0,119.60601,100.0,131.67221,775.16693,164.92431,-164.92431,233.0,-164.92431
2.1367521367521367,0.0,121.75235,100.0,131.74819,772.44054,164.73096,-164.73096,234.0,-164.73096
2.127659574468085,0.0,123.89869,100.0,131.82417,769.71415,164.53761,-164.53761,235.0,-164.53761
2.1186440677966103,0.0,126.04503,100.0,131.90015,766.98776,164.34426,-164.34426,236.0,-164.34426
2.109704641350211,0.0,128.19137,100.0,131.97613,764.26138,164.15091,-164.15091,237.0,-164.15091
2.100840336134454,0.0,130.3377,100.0,132.05211,761.53499,163.95756,-163.95756,238.0,-163.95756
2.092050209205021,0.0,132.48404,100.0,132.12809,758.8086,163.76421,-163.76421,239.0,-163.76421
2.0833333333333335,0.0,134.63038,100.0,132.20406,756.08221,163.57086,-163.57086,240.0,-163.57086
2.074688796680498,0.0,136.77672,100.0,132.28004,753.35582,163.37751,-163.37751,241.0,-163.37751
2.0661157024793386,0.0,138.92306,100.0,132.35602,750.62943,163.18416,-163.18416,242.0,-163.18416
2.05761316872428,0.0,141.0694,100.0,132.432,747.90304,162.99081,-162.99081,243.0,-162.99081
2.0491803278688523,0.0,143.21574,100.0,132.50798,745.17665,162.79746,-162.79746,244.0,-162.79746
2.0408163265306123,0.0,145.36208,100.0,132.58396,742.45026,162.60411,-162.60411,245.0,-162.60411
2.032520325203252,0.0,147.50842,100.0,132.65994,739.72387,162.41076,-162.41076,246.0,-162.41076
2.0242914979757085,0.0,149.65476,100.0,132.73592,736.99748,162.21741,-162.21741,247.0,-162.21741
2.0161290322580645,0.0,151.8011,100.0,132.8119,734.27109,162.02406,-162.02406,248.0,-162.02406
2.0080321285140563,0.0,153.94744,100.0,132.88788,731.5447,161.83071,-161.83071,249.0,-161.83071
2.0,0.0,156.09378,100.0,132.96386,728.81831,161.63736,-161.63736,250.0,-161.63736
1.9920318725099602,0.0,158.24012,100.0,133.03984,726.09192,161.44401,-161.44401,251.0,-161.44401
1.9841269841269842,0.0,160.38645,100.0,133.11582,723.36553,161.25066,-161.25066,252.0,-161.25066
1.976284584980237,0.0,162.53279,100.0,133.1918,720.63914,161.05731,-161.05731,253.0,-161.05731
1.968503937007874,0.0,164.67913,100.0,133.26778,717.91275,160.86396,-160.86396,254.0,-160.86396
