,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
281,100.0,5.3819265,103.31862,78.29975
282,100.0,4.6893355,103.6863,78.578397
283,100.0,3.9967445,104.05399,78.857044
284,100.0,3.3041535,104.42167,79.135691
285,100.0,2.6115625,104.78935,79.414337
286,100.0,1.9189715,105.15703,79.692984
287,100.0,1.2263805,105.52471,79.971631
288,100.0,0.53378947,105.8924,80.250278
289,100.0,0.0,106.41888,80.687726
290,100.0,0.0,107.47915,81.658964
291,100.0,0.0,108.53942,82.630202
292,100.0,0.0,109.5997,83.60144
293,100.0,0.0,110.65997,84.572677
294,100.0,0.0,111.72024,85.543915
295,100.0,0.0,112.78052,86.515153
296,100.0,0.0,113.84079,87.486391
297,100.0,0.0,114.90106,88.457629
298,100.0,0.0,115.96134,89.428866
299,100.0,0.0,117.02161,90.400104
300,100.0,0.0,118.08188,91.371342
301,100.0,0.0,119.14215,92.34258
302,100.0,0.0,120.20243,93.313818
303,100.0,0.0,121.2627,94.285055
304,100.0,0.0,122.32297,95.256293
305,100.0,0.0,123.38325,96.227531
306,100.0,0.0,124.44352,97.198769
307,100.0,0.0,125.50379,98.170007
308,100.0,0.0,126.56406,99.141244
309,100.0,0.0,127.62434,100.11248
310,100.0,0.0,128.68461,101.08372
311,100.0,0.0,129.74488,102.05496
312,100.0,0.0,130.80516,103.0262
313,100.0,0.0,131.86543,103.99743
314,100.0,0.0,132.9257,104.96867
315,100.0,0.0,133.98598,105.93991
316,100.0,0.0,135.04625,106.91115
317,100.0,0.0,136.10652,107.88238
318,100.0,0.0,137.16679,108.85362
319,100.0,0.0,138.22707,109.82486
320,100.0,0.0,139.28734,110.7961
321,100.0,0.0,140.34761,111.76734
322,100.0,0.0,141.40789,112.73857
323,100.0,0.0,142.46816,113.70981
324,100.0,0.0,143.52843,114.68105
325,100.0,0.0,144.5887,115.65229
326,100.0,0.0,145.64898,116.62352
327,100.0,0.0,146.70925,117.59476
328,100.0,0.0,147.76952,118.566
329,100.0,0.0,148.8298,119.53724
330,100.0,0.0,149.89007,120.50848
331,100.0,0.0,150.95034,121.47971
332,100.0,0.0,152.01062,122.45095
333,100.0,0.0,153.07089,123.42219
334,100.0,0.0,154.13116,124.39343
335,100.0,0.0,155.19143,125.36467
336,100.0,0.0,156.25171,126.3359
337,100.0,0.0,157.31198,127.30714
338,100.0,0.0,158.37225,128.27838
339,100.0,0.0,159.43253,129.24962
340,100.0,0.0,160.4928,130.22085
341,100.0,0.0,161.55307,131.19209
342,100.0,0.0,162.61334,132.16333
343,100.0,0.0,163.67362,133.13457
344,100.0,0.0,164.73389,134.10581
345,100.0,0.0,165.79416,135.07704
346,100.0,0.0,166.85444,136.04828
347,100.0,0.0,167.91471,137.01952
348,100.0,0.0,168.97498,137.99076
349,100.0,0.0,170.03525,138.96199
350,100.0,0.0,171.09553,139.93323
351,100.0,0.0,172.1558,140.90447
352,100.0,0.0,173.21607,141.87571
353,100.0,0.0,174.27635,142.84695
354,100.0,0.0,175.33662,143.81818
355,100.0,0.0,176.39689,144.78942
356,100.0,0.0,177.45717,145.76066
357,100.0,0.0,178.51744,146.7319
358,100.0,0.0,179.57771,147.70313
359,100.0,0.0,180.63798,148.67437
360,100.0,0.0,181.69826,149.64561
361,100.0,0.0,182.75853,150.61685
362,100.0,0.0,183.8188,151.58809
363,100.0,0.0,184.87908,152.55932
364,100.0,0.0,185.93935,153.53056
365,100.0,0.0,186.99962,154.5018
366,100.0,0.0,188.05989,155.47304
367,100.0,0.0,189.12017,156.44428
368,100.0,0.0,190.18044,157.41551
369,100.0,0.0,191.24071,158.38675
370,100.0,0.0,192.30099,159.35799
371,100.0,0.0,193.36126,160.32923
372,100.0,0.0,194.42153,161.30046
373,100.0,0.0,195.48181,162.2717
374,100.0,0.0,196.54208,163.24294
375,100.0,0.0,197.60235,164.21418
376,100.0,0.0,198.66262,165.18542
377,100.0,0.0,199.7229,166.15665
378,100.0,0.0,200.78317,167.12789
379,100.0,0.0,201.84344,168.09913
380,100.0,0.0,202.90372,169.07037
381,100.0,0.0,203.96399,170.0416
382,100.0,0.0,205.02426,171.01284
383,100.0,0.0,206.08453,171.98408
384,100.0,0.0,207.14481,172.95532
385,100.0,0.0,208.20508,173.92656
386,100.0,0.0,209.26535,174.89779
387,100.0,0.0,210.32563,175.86903
388,100.0,0.0,211.3859,176.84027
389,100.0,0.0,212.44617,177.81151
390,100.0,0.0,213.50645,178.78274
391,100.0,0.0,214.56672,179.75398
392,100.0,0.0,215.62699,180.72522
393,100.0,0.0,216.68726,181.69646
394,100.0,0.0,217.74754,182.6677
395,100.0,0.0,218.80781,183.63893
396,100.0,0.0,219.86808,184.61017
397,100.0,0.0,220.92836,185.58141
398,100.0,0.0,221.98863,186.55265
399,100.0,0.0,223.0489,187.52388
400,100.0,0.0,224.10917,188.49512
401,100.0,0.0,225.16945,189.46636
402,100.0,0.0,226.22972,190.4376
403,100.0,0.0,227.28999,191.40884
404,100.0,0.0,227.824,191.898
405,100.0,0.0,227.824,191.898
406,100.0,0.0,227.824,191.898
407,100.0,0.0,227.824,191.898
408,100.0,0.0,227.824,191.898
409,100.0,0.0,227.824,191.898
410,100.0,0.0,227.824,191.898
411,100.0,0.0,227.824,191.898
412,100.0,0.0,227.824,191.898
413,100.0,0.0,227.824,191.898
414,100.0,0.0,227.824,191.898
415,100.0,0.0,227.824,191.898
416,100.0,0.0,227.824,191.898
417,100.0,0.0,227.824,191.898
418,100.0,0.0,227.824,191.898
419,100.0,0.0,227.824,191.898
420,100.0,0.0,227.824,191.898
421,100.0,0.0,227.824,191.898
422,100.0,0.0,227.824,191.898
423,100.0,0.0,227.824,191.898
424,100.0,0.0,227.824,191.898
425,100.0,0.0,227.824,191.898
426,100.0,0.0,227.824,191.898
427,100.0,0.0,227.824,191.898
428,100.0,0.0,227.824,191.898
429,100.0,0.0,227.824,191.898
430,100.0,0.0,227.824,191.898
431,100.0,0.0,227.824,191.898
432,100.0,0.0,227.824,191.898
433,100.0,0.0,227.824,191.898
434,100.0,0.0,227.824,191.898
435,100.0,0.0,227.824,191.898
436,100.0,0.0,227.824,191.898
437,100.0,0.0,227.824,191.898
438,100.0,0.0,227.824,191.898
439,100.0,0.0,227.824,191.898
440,100.0,0.0,227.824,191.898
441,100.0,0.0,227.824,191.898
442,100.0,0.0,227.824,191.898
443,100.0,0.0,227.824,191.898
444,100.0,0.0,227.824,191.898
445,100.0,0.0,227.824,191.898
446,100.0,0.0,227.824,191.898
447,100.0,0.0,227.824,191.898
448,100.0,0.0,227.824,191.898
449,100.0,0.0,227.824,191.898
450,100.0,0.0,227.824,191.898
451,100.0,0.0,227.824,191.898
452,100.0,0.0,227.824,191.898
453,100.0,0.0,227.824,191.898
454,100.0,0.0,227.824,191.898
455,100.0,0.0,227.824,191.898
456,100.0,0.0,227.824,191.898
457,100.0,0.0,227.824,191.898
458,100.0,0.0,227.824,191.898
459,100.0,0.0,227.824,191.898
460,100.0,0.0,227.824,191.898
461,100.0,0.0,227.824,191.898
462,100.0,0.0,227.824,191.898
463,100.0,0.0,227.824,191.898
464,100.0,0.0,227.824,191.898
465,100.0,0.0,227.824,191.898
466,100.0,0.0,227.824,191.898
467,100.0,0.0,227.824,191.898
468,100.0,0.0,227.824,191.898
469,100.0,0.0,227.824,191.898
470,100.0,0.0,227.824,191.898
471,100.0,0.0,227.824,191.898
472,100.0,0.0,227.824,191.898
473,100.0,0.0,227.824,191.898
474,100.0,0.0,227.824,191.898
475,100.0,0.0,227.824,191.898
476,100.0,0.0,227.824,191.898
477,100.0,0.0,227.824,191.898
478,100.0,0.0,227.824,191.898
479,100.0,0.0,227.824,191.898
480,100.0,0.0,227.824,191.898
481,100.0,0.0,227.824,191.898
482,100.0,0.0,227.824,191.898
483,100.0,0.0,227.824,191.898
484,100.0,0.0,227.824,191.898
485,100.0,0.0,227.824,191.898
486,100.0,0.0,227.824,191.898
487,100.0,0.0,227.824,191.898
488,100.0,0.0,227.824,191.898
489,100.0,0.0,227.824,191.898
490,100.0,0.0,227.824,191.898
491,100.0,0.0,227.824,191.898
492,100.0,0.0,227.824,191.898
493,100.0,0.0,227.824,191.898
494,100.0,0.0,227.824,191.898
495,100.0,0.0,227.824,191.898
496,100.0,0.0,227.824,191.898
497,100.0,0.0,227.824,191.898
498,100.0,0.0,227.824,191.898
