,Glucose,Lac,Glutamate,Ammonia
403,1.0,0.0,7.019053053498859,0.0
404,1.0,0.0,7.019053053498859,0.0
405,1.0,0.0,7.019053053498859,0.0
406,1.0,0.0,7.019053053498859,0.0
407,1.0,0.0,7.019053053498859,0.0
408,1.0,0.0,7.019053053498859,0.0
409,1.0,0.0,7.019053053498859,0.0
410,1.0,0.0,7.019053053498859,0.0
411,1.0,0.0,7.019053053498859,0.0
412,1.0,0.0,7.019053053498859,0.0
413,1.0,0.0,7.019053053498859,0.0
414,1.0,0.0,7.019053053498859,0.0
415,1.0,0.0,7.019053053498859,0.0
416,1.0,0.0,7.019053053498859,0.0
417,1.0,0.0,7.019053053498859,0.0
418,1.0,0.0,7.019053053498859,0.0
419,1.0,0.0,7.019053053498859,0.0
420,1.0,0.0,7.019053053498859,0.0
421,1.0,0.0,7.019053053498859,0.0
422,1.0,0.0,7.019053053498859,0.0
423,1.0,0.0,7.019053053498859,0.0
424,1.0,0.0,7.019053053498859,0.0
425,1.0,0.0,7.019053053498859,0.0
426,1.0,0.0,7.019053053498859,0.0
427,1.0,0.0,7.019053053498859,0.0
428,1.0,0.0,7.019053053498859,0.0
429,1.0,0.0,7.019053053498859,0.0
430,1.0,0.0,7.019053053498859,0.0
431,1.0,0.0,7.019053053498859,0.0
432,1.0,0.0,7.019053053498859,0.0
433,1.0,0.0,7.019053053498859,0.0
434,1.0,0.0,7.019053053498859,0.0
435,1.0,0.0,7.019053053498859,0.0
436,1.0,0.0,7.019053053498859,0.0
437,1.0,0.0,7.019053053498859,0.0
438,1.0,0.0,7.019053053498859,0.0
439,1.0,0.0,7.019053053498859,0.0
440,1.0,0.0,7.019053053498859,0.0
441,1.0,0.0,7.019053053498859,0.0
442,1.0,0.0,7.019053053498859,0.0
443,1.0,0.0,7.019053053498859,0.0
444,1.0,0.0,7.019053053498859,0.0
445,1.0,0.0,7.019053053498859,0.0
446,1.0,0.0,7.019053053498859,0.0
447,1.0,0.0,7.019053053498859,0.0
448,1.0,0.0,7.019053053498859,0.0
449,1.0,0.0,7.019053053498859,0.0
450,1.0,0.0,7.019053053498859,0.0
451,1.0,0.0,7.019053053498859,0.0
452,1.0,0.0,7.019053053498859,0.0
453,1.0,0.0,7.019053053498859,0.0
454,1.0,0.0,7.019053053498859,0.0
455,1.0,0.0,7.019053053498859,0.0
456,1.0,0.0,7.019053053498859,0.0
457,1.0,0.0,7.019053053498859,0.0
458,1.0,0.0,7.019053053498859,0.0
459,1.0,0.0,7.019053053498859,0.0
460,1.0,0.0,7.019053053498859,0.0
461,1.0,0.0,7.019053053498859,0.0
462,1.0,0.0,7.019053053498859,0.0
463,1.0,0.0,7.019053053498859,0.0
464,1.0,0.0,7.019053053498859,0.0
465,1.0,0.0,7.019053053498859,0.0
466,1.0,0.0,7.019053053498859,0.0
467,1.0,0.0,7.019053053498859,0.0
468,1.0,0.0,7.019053053498859,0.0
469,1.0,0.0,7.019053053498859,0.0
470,1.0,0.0,7.019053053498859,0.0
471,1.0,0.0,7.019053053498859,0.0
